STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,MEX,Mexico,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2015,,39.17773854,,B,Time series break,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,SWE,Sweden,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2020,,93.941,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,SWE,Sweden,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2021,,93.2278,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,EST,Estonia,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2017,,88.2653,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,OECD,OECD,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2017,,84.17130735,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,SWE,Sweden,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2015,,91.0333,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,LVA,Latvia,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2018,,81.5769,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,LVA,Latvia,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2019,,85.4495,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,LVA,Latvia,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2020,,89.7275,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_HH(1.0),ICT Access and Usage by Households,I,LVA,Latvia,A,Annual,B1_HH,Households with Internet access at home,PT_HH,Percentage of households,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,2021,,91.1479,,A,Normal value,,,,,0,Units,,,2,Two,HH_TOTAL,All (households)
